restaurant.R.res_id,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.location.locality,restaurant.location.city,restaurant.location.address,restaurant.location.latitude,restaurant.location.longitude,restaurant.user_rating.aggregate_rating,restaurant.user_rating.rating_text,restaurant.menu_url
18369252,Pakwan Chennai,"North Indian, Chinese, Italian",1200,T. Nagar,Chennai,"10, Kuppuswamy Street, G N Chetty Road, T. Nagar, Chennai",13.0448925413,80.2388365567,4.2,Very Good,https://www.zomato.com/chennai/pakwan-chennai-t-nagar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66412,Mathsya,"South Indian, North Indian, Chinese, Beverages",900,Egmore,Chennai,"1, Halls Road, Egmore, Chennai",13.0750106485,80.2578178793,4.1,Very Good,https://www.zomato.com/chennai/mathsya-egmore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
68908,Welcome Hotel,South Indian,250,Purasavakkam,Chennai,"112/241, Purasawalkam High Road, Purasavakkam, Chennai.",13.0858690010,80.2546206862,4.5,Excellent,https://www.zomato.com/chennai/welcome-hotel-purasavakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18752364,Kappa Chakka Kandhari,Kerala,600,Nungambakkam,Chennai,"10, Haddows Road, Opposite to Shastri Bhavan, Nungambakkam, Chennai",13.0636648595,80.2478994057,4.6,Excellent,https://www.zomato.com/chennai/kappa-chakka-kandhari-1-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71664,Dakshin - Crowne Plaza Chennai Adyar Park,"South Indian, Kerala, Andhra",2500,"Crowne Plaza Chennai Adyar Park, Alwarpet",Chennai,"Crowne Plaza Chennai Adyar Park, TTK Road, Austin Nagar, Alwarpet, Chennai",13.0293689302,80.2492173761,4.8,Excellent,https://www.zomato.com/chennai/dakshin-crowne-plaza-chennai-adyar-park-alwarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66419,Wild Garden Cafe - Amethyst,"Cafe, Italian, Continental",1400,Royapettah,Chennai,"Whites Road, Royapettah, Chennai ",13.0572242429,80.2592049167,4.4,Very Good,https://www.zomato.com/chennai/wild-garden-cafe-amethyst-royapettah/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18361802,Abid's,"Seafood, Biryani, Hyderabadi, Arabian",800,Chetpet,Chennai,"21, Spurtank Road, Chetpet, Chennai",13.0713675771,80.2503817901,4.2,Very Good,https://www.zomato.com/chennai/abids-chetpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
69116,Bombay Lassi,Street Food,100,Triplicane,Chennai,"8, Bahar Agan Street, Anna Salai, Ellis Road, Behind Devi Theatre, Triplicane, Chennai",13.0660121155,80.2711239830,4.8,Excellent,https://www.zomato.com/chennai/bombay-lassi-1-triplicane/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66330,Kakada Ramprasad,"Mithai, Street Food",450,Sowcarpet,Chennai,"348/343, Ground Floor, Mint Street, Sowcarpet, Chennai",13.0902453216,80.2789885551,4.4,Very Good,https://www.zomato.com/chennai/kakada-ramprasad-sowcarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18423043,Dhaba Estd 1986 Delhi,North Indian,1500,"Ispahani Centre, Nungambakkam",Chennai,"Bearing Door 123 - 124, Ishpahani Centre, Nungambakkam High Road, Nungambakkam, Chennai",13.0550519667,80.2497062087,4.6,Excellent,https://www.zomato.com/chennai/dhaba-estd-1986-delhi-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18437170,Nasi And Mee,"Singaporean, Malaysian, Chinese, Asian, Thai, Momos",1200,Nungambakkam,Chennai,"Kedar khan road, nungambakkam, chennai",13.0607639900,80.2497139201,4.6,Excellent,https://www.zomato.com/chennai/nasi-and-mee-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
67408,Board Walk - Ramada,"North Indian, Continental, Cafe",1650,"Ramada, Egmore",Chennai,"2A Poniamman koil street, Egmore, Chennai-600008",13.0765998012,80.2647818998,4.2,Very Good,https://www.zomato.com/chennai/board-walk-ramada-egmore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
